#X     Z        log_Rho      Rho    
7.50   -22.65   1.99         98.00  
7.50   -24.16   2.02         104.00 
7.50   -25.67   2.04         110.00 
7.50   -27.18   2.06         116.00 
7.50   -28.69   2.09         122.00 
7.50   -30.20   2.10         127.00 
7.50   -31.71   2.12         132.00 
7.50   -33.22   2.14         137.00 
7.50   -34.73   2.15         142.00 
7.50   -36.24   2.17         147.00 
7.50   -37.75   2.18         153.00 
7.50   -39.26   2.20         159.00 
7.50   -40.77   2.22         165.00 
7.50   -42.28   2.23         171.00 
7.50   -43.79   2.25         177.00 
7.50   -45.30   2.26         183.00 
7.50   -46.81   2.28         190.00 
7.50   -48.32   2.29         195.00 
7.50   -49.83   2.30         198.00 
7.50   -51.34   2.30         199.00 
7.50   -52.85   2.30         200.00 
7.50   -54.36   2.30         200.00 
7.50   -55.87   2.30         200.00 
7.50   -57.38   2.30         200.00 
7.50   -58.89   2.30         200.00 
7.50   -60.40   2.30         200.00 
10.00  0.00     1.87         74.00  
10.00  -1.51    1.86         73.00  
10.00  -3.02    1.85         71.00  
10.00  -4.53    1.84         69.00  
10.00  -6.04    1.83         68.00  
10.00  -7.55    1.82         66.00  
10.00  -9.06    1.81         64.00  
10.00  -10.57   1.81         64.00  
10.00  -12.08   1.83         67.00  
10.00  -13.59   1.85         71.00  
10.00  -15.10   1.88         75.00  
10.00  -16.61   1.90         79.00  
10.00  -18.12   1.91         82.00  
10.00  -19.63   1.93         86.00  
10.00  -21.14   1.96         91.00  
10.00  -22.65   1.99         97.00  
10.00  -24.16   2.01         103.00 
10.00  -25.67   2.04         109.00 
10.00  -27.18   2.06         114.00 
10.00  -28.69   2.08         120.00 
10.00  -30.20   2.10         126.00 
10.00  -31.71   2.12         131.00 
10.00  -33.22   2.13         136.00 
10.00  -34.73   2.15         142.00 
10.00  -36.24   2.17         147.00 
10.00  -37.75   2.18         153.00 
10.00  -39.26   2.20         159.00 
10.00  -40.77   2.22         165.00 
10.00  -42.28   2.23         171.00 
10.00  -43.79   2.25         177.00 
10.00  -45.30   2.26         183.00 
10.00  -46.81   2.28         190.00 
10.00  -48.32   2.29         196.00 
10.00  -49.83   2.30         200.00 
10.00  -51.34   2.30         200.00 
10.00  -52.85   2.30         200.00 
10.00  -54.36   2.30         200.00 
10.00  -55.87   2.30         200.00 
10.00  -57.38   2.30         200.00 
10.00  -58.89   2.30         200.00 
10.00  -60.40   2.30         200.00 
12.50  0.00     1.87         74.00  
12.50  -1.51    1.86         73.00  
12.50  -3.02    1.85         71.00  
12.50  -4.53    1.84         69.00  
12.50  -6.04    1.83         68.00  
12.50  -7.55    1.82         66.00  
12.50  -9.06    1.81         64.00  
12.50  -10.57   1.81         64.00  
12.50  -12.08   1.83         67.00  
12.50  -13.59   1.85         71.00  
12.50  -15.10   1.88         75.00  
12.50  -16.61   1.90         79.00  
12.50  -18.12   1.91         82.00  
12.50  -19.63   1.93         86.00  
12.50  -21.14   1.96         91.00  
12.50  -22.65   1.99         97.00  
12.50  -24.16   2.01         103.00 
12.50  -25.67   2.03         108.00 
12.50  -27.18   2.06         114.00 
12.50  -28.69   2.08         120.00 
12.50  -30.20   2.10         125.00 
12.50  -31.71   2.11         130.00 
12.50  -33.22   2.13         136.00 
12.50  -34.73   2.15         142.00 
12.50  -36.24   2.17         147.00 
12.50  -37.75   2.18         153.00 
12.50  -39.26   2.20         159.00 
12.50  -40.77   2.22         165.00 
12.50  -42.28   2.23         171.00 
12.50  -43.79   2.25         177.00 
12.50  -45.30   2.26         184.00 
12.50  -46.81   2.28         191.00 
12.50  -48.32   2.29         197.00 
12.50  -49.83   2.30         200.00 
12.50  -51.34   2.30         200.00 
12.50  -52.85   2.30         200.00 
12.50  -54.36   2.30         200.00 
12.50  -55.87   2.30         200.00 
12.50  -57.38   2.30         200.00 
12.50  -58.89   2.30         200.00 
12.50  -60.40   2.30         200.00 
15.00  0.00     1.87         74.00  
15.00  -1.51    1.86         73.00  
15.00  -3.02    1.85         71.00  
15.00  -4.53    1.84         69.00  
15.00  -6.04    1.83         68.00  
15.00  -7.55    1.82         66.00  
15.00  -9.06    1.81         64.00  
15.00  -10.57   1.81         64.00  
15.00  -12.08   1.83         67.00  
15.00  -13.59   1.85         71.00  
15.00  -15.10   1.88         75.00  
15.00  -16.61   1.90         79.00  
15.00  -18.12   1.91         82.00  
15.00  -19.63   1.93         86.00  
15.00  -21.14   1.96         92.00  
15.00  -22.65   1.99         98.00  
15.00  -24.16   2.02         104.00 
15.00  -25.67   2.04         110.00 
15.00  -27.18   2.06         116.00 
15.00  -28.69   2.09         122.00 
15.00  -30.20   2.10         125.00 
15.00  -31.71   2.10         127.00 
15.00  -33.22   2.12         133.00 
15.00  -34.73   2.14         139.00 
15.00  -36.24   2.16         146.00 
15.00  -37.75   2.18         152.00 
15.00  -39.26   2.20         158.00 
15.00  -40.77   2.22         165.00 
15.00  -42.28   2.23         171.00 
15.00  -43.79   2.25         178.00 
15.00  -45.30   2.27         185.00 
15.00  -46.81   2.28         192.00 
15.00  -48.32   2.30         198.00 
15.00  -49.83   2.30         200.00 
15.00  -51.34   2.30         200.00 
15.00  -52.85   2.30         200.00 
15.00  -54.36   2.30         200.00 
15.00  -55.87   2.30         200.00 
15.00  -57.38   2.30         200.00 
15.00  -58.89   2.30         200.00 
15.00  -60.40   2.30         200.00 
17.50  0.00     1.87         74.00  
17.50  -1.51    1.86         73.00  
17.50  -3.02    1.85         71.00  
17.50  -4.53    1.84         69.00  
17.50  -6.04    1.83         68.00  
17.50  -7.55    1.82         66.00  
17.50  -9.06    1.81         64.00  
17.50  -10.57   1.81         64.00  
17.50  -12.08   1.83         67.00  
17.50  -13.59   1.85         71.00  
17.50  -15.10   1.88         75.00  
17.50  -16.61   1.90         79.00  
17.50  -18.12   1.91         82.00  
17.50  -19.63   1.94         87.00  
17.50  -21.14   1.96         92.00  
17.50  -22.65   2.00         99.00  
17.50  -24.16   2.03         106.00 
17.50  -25.67   2.05         113.00 
17.50  -27.18   2.08         120.00 
17.50  -28.69   2.09         124.00 
17.50  -30.20   2.10         125.00 
17.50  -31.71   2.10         126.00 
17.50  -33.22   2.11         129.00 
17.50  -34.73   2.13         135.00 
17.50  -36.24   2.15         142.00 
17.50  -37.75   2.17         149.00 
17.50  -39.26   2.20         157.00 
17.50  -40.77   2.22         165.00 
17.50  -42.28   2.24         172.00 
17.50  -43.79   2.25         179.00 
17.50  -45.30   2.27         186.00 
17.50  -46.81   2.29         193.00 
17.50  -48.32   2.30         198.00 
17.50  -49.83   2.30         200.00 
17.50  -51.34   2.30         200.00 
17.50  -52.85   2.30         200.00 
17.50  -54.36   2.30         200.00 
17.50  -55.87   2.30         200.00 
17.50  -57.38   2.30         200.00 
17.50  -58.89   2.30         200.00 
17.50  -60.40   2.30         200.00 
20.00  0.00     1.87         74.00  
20.00  -1.51    1.86         73.00  
20.00  -3.02    1.85         71.00  
20.00  -4.53    1.84         69.00  
20.00  -6.04    1.83         68.00  
20.00  -7.55    1.82         66.00  
20.00  -9.06    1.81         64.00  
20.00  -10.57   1.81         64.00  
20.00  -12.08   1.83         67.00  
20.00  -13.59   1.85         71.00  
20.00  -15.10   1.88         75.00  
20.00  -16.61   1.90         79.00  
20.00  -18.12   1.91         82.00  
20.00  -19.63   1.94         87.00  
20.00  -21.14   1.97         93.00  
20.00  -22.65   2.00         100.00 
20.00  -24.16   2.03         108.00 
20.00  -25.67   2.06         115.00 
20.00  -27.18   2.09         122.00 
20.00  -28.69   2.10         125.00 
20.00  -30.20   2.10         125.00 
20.00  -31.71   2.10         125.00 
20.00  -33.22   2.10         126.00 
20.00  -34.73   2.12         131.00 
20.00  -36.24   2.14         139.00 
20.00  -37.75   2.17         147.00 
20.00  -39.26   2.19         156.00 
20.00  -40.77   2.22         165.00 
20.00  -42.28   2.24         172.00 
20.00  -43.79   2.25         179.00 
20.00  -45.30   2.27         187.00 
20.00  -46.81   2.29         193.00 
20.00  -48.32   2.30         198.00 
20.00  -49.83   2.30         200.00 
20.00  -51.34   2.30         200.00 
20.00  -52.85   2.30         200.00 
20.00  -54.36   2.30         200.00 
20.00  -55.87   2.30         200.00 
20.00  -57.38   2.30         200.00 
20.00  -58.89   2.30         200.00 
20.00  -60.40   2.30         200.00 
22.50  0.00     1.87         74.00  
22.50  -1.51    1.86         73.00  
22.50  -3.02    1.85         71.00  
22.50  -4.53    1.84         69.00  
22.50  -6.04    1.83         68.00  
22.50  -7.55    1.82         66.00  
22.50  -9.06    1.81         64.00  
22.50  -10.57   1.81         64.00  
22.50  -12.08   1.83         67.00  
22.50  -13.59   1.85         71.00  
22.50  -15.10   1.88         75.00  
22.50  -16.61   1.90         79.00  
22.50  -18.12   1.91         82.00  
22.50  -19.63   1.94         87.00  
22.50  -21.14   1.97         93.00  
22.50  -22.65   2.00         100.00 
22.50  -24.16   2.03         108.00 
22.50  -25.67   2.06         116.00 
22.50  -27.18   2.09         122.00 
22.50  -28.69   2.10         125.00 
22.50  -30.20   2.10         125.00 
22.50  -31.71   2.10         125.00 
22.50  -33.22   2.10         125.00 
22.50  -34.73   2.11         129.00 
22.50  -36.24   2.14         138.00 
22.50  -37.75   2.17         147.00 
22.50  -39.26   2.19         156.00 
22.50  -40.77   2.22         165.00 
22.50  -42.28   2.24         172.00 
22.50  -43.79   2.25         178.00 
22.50  -45.30   2.27         185.00 
22.50  -46.81   2.28         191.00 
22.50  -48.32   2.29         196.00 
22.50  -49.83   2.30         199.00 
22.50  -51.34   2.30         200.00 
22.50  -52.85   2.30         200.00 
22.50  -54.36   2.30         200.00 
22.50  -55.87   2.30         200.00 
22.50  -57.38   2.30         200.00 
22.50  -58.89   2.30         200.00 
22.50  -60.40   2.30         200.00 
25.00  0.00     1.87         74.00  
25.00  -1.51    1.86         73.00  
25.00  -3.02    1.85         71.00  
25.00  -4.53    1.84         69.00  
25.00  -6.04    1.83         68.00  
25.00  -7.55    1.82         66.00  
25.00  -9.06    1.81         64.00  
25.00  -10.57   1.81         64.00  
25.00  -12.08   1.83         67.00  
25.00  -13.59   1.85         71.00  
25.00  -15.10   1.88         75.00  
25.00  -16.61   1.90         79.00  
25.00  -18.12   1.91         82.00  
25.00  -19.63   1.94         87.00  
25.00  -21.14   1.97         93.00  
25.00  -22.65   2.00         101.00 
25.00  -24.16   2.04         109.00 
25.00  -25.67   2.07         117.00 
25.00  -27.18   2.09         123.00 
25.00  -28.69   2.10         125.00 
25.00  -30.20   2.10         125.00 
25.00  -31.71   2.10         125.00 
25.00  -33.22   2.10         125.00 
25.00  -34.73   2.11         129.00 
25.00  -36.24   2.14         138.00 
25.00  -37.75   2.17         147.00 
25.00  -39.26   2.19         156.00 
25.00  -40.77   2.21         164.00 
25.00  -42.28   2.23         170.00 
25.00  -43.79   2.24         175.00 
25.00  -45.30   2.26         181.00 
25.00  -46.81   2.27         186.00 
25.00  -48.32   2.28         192.00 
25.00  -49.83   2.29         197.00 
25.00  -51.34   2.30         200.00 
25.00  -52.85   2.30         200.00 
25.00  -54.36   2.30         200.00 
25.00  -55.87   2.30         200.00 
25.00  -57.38   2.30         200.00 
25.00  -58.89   2.30         200.00 
25.00  -60.40   2.30         200.00 
27.50  0.00     1.87         74.00  
27.50  -1.51    1.86         73.00  
27.50  -3.02    1.85         71.00  
27.50  -4.53    1.85         70.00  
27.50  -6.04    1.83         68.00  
27.50  -7.55    1.82         66.00  
27.50  -9.06    1.81         64.00  
27.50  -10.57   1.81         64.00  
27.50  -12.08   1.83         67.00  
27.50  -13.59   1.85         71.00  
27.50  -15.10   1.88         75.00  
27.50  -16.61   1.90         79.00  
27.50  -18.12   1.91         82.00  
27.50  -19.63   1.94         87.00  
27.50  -21.14   1.97         93.00  
27.50  -22.65   2.00         101.00 
27.50  -24.16   2.04         109.00 
27.50  -25.67   2.07         117.00 
27.50  -27.18   2.09         123.00 
27.50  -28.69   2.10         125.00 
27.50  -30.20   2.10         125.00 
27.50  -31.71   2.10         125.00 
27.50  -33.22   2.10         125.00 
27.50  -34.73   2.11         129.00 
27.50  -36.24   2.14         137.00 
27.50  -37.75   2.17         147.00 
27.50  -39.26   2.19         156.00 
27.50  -40.77   2.21         164.00 
27.50  -42.28   2.23         169.00 
27.50  -43.79   2.24         174.00 
27.50  -45.30   2.25         179.00 
27.50  -46.81   2.26         184.00 
27.50  -48.32   2.28         190.00 
27.50  -49.83   2.29         195.00 
27.50  -51.34   2.30         199.00 
27.50  -52.85   2.30         200.00 
27.50  -54.36   2.30         200.00 
27.50  -55.87   2.30         200.00 
27.50  -57.38   2.30         200.00 
27.50  -58.89   2.30         200.00 
27.50  -60.40   2.30         200.00 
30.00  0.00     1.87         74.00  
30.00  -1.51    1.86         73.00  
30.00  -3.02    1.85         71.00  
30.00  -4.53    1.85         70.00  
30.00  -6.04    1.83         68.00  
30.00  -7.55    1.82         66.00  
30.00  -9.06    1.81         64.00  
30.00  -10.57   1.81         64.00  
30.00  -12.08   1.83         67.00  
30.00  -13.59   1.85         71.00  
30.00  -15.10   1.88         75.00  
30.00  -16.61   1.90         79.00  
30.00  -18.12   1.91         82.00  
30.00  -19.63   1.94         87.00  
30.00  -21.14   1.97         93.00  
30.00  -22.65   2.00         101.00 
30.00  -24.16   2.04         109.00 
30.00  -25.67   2.06         116.00 
30.00  -27.18   2.09         123.00 
30.00  -28.69   2.10         125.00 
30.00  -30.20   2.10         125.00 
30.00  -31.71   2.10         125.00 
30.00  -33.22   2.10         125.00 
30.00  -34.73   2.11         129.00 
30.00  -36.24   2.14         138.00 
30.00  -37.75   2.17         147.00 
30.00  -39.26   2.19         156.00 
30.00  -40.77   2.21         164.00 
30.00  -42.28   2.23         169.00 
30.00  -43.79   2.24         174.00 
30.00  -45.30   2.25         179.00 
30.00  -46.81   2.27         185.00 
30.00  -48.32   2.28         190.00 
30.00  -49.83   2.29         195.00 
30.00  -51.34   2.30         199.00 
30.00  -52.85   2.30         200.00 
30.00  -54.36   2.30         200.00 
30.00  -55.87   2.30         200.00 
30.00  -57.38   2.30         200.00 
30.00  -58.89   2.30         200.00 
30.00  -60.40   2.30         200.00 
32.50  0.00     1.87         74.00  
32.50  -1.51    1.86         73.00  
32.50  -3.02    1.85         71.00  
32.50  -4.53    1.85         70.00  
32.50  -6.04    1.83         68.00  
32.50  -7.55    1.82         66.00  
32.50  -9.06    1.81         64.00  
32.50  -10.57   1.81         64.00  
32.50  -12.08   1.83         67.00  
32.50  -13.59   1.85         71.00  
32.50  -15.10   1.88         75.00  
32.50  -16.61   1.89         78.00  
32.50  -18.12   1.91         82.00  
32.50  -19.63   1.93         86.00  
32.50  -21.14   1.96         92.00  
32.50  -22.65   2.00         99.00  
32.50  -24.16   2.03         107.00 
32.50  -25.67   2.06         114.00 
32.50  -27.18   2.08         121.00 
32.50  -28.69   2.10         125.00 
32.50  -30.20   2.10         125.00 
32.50  -31.71   2.10         125.00 
32.50  -33.22   2.10         125.00 
32.50  -34.73   2.11         129.00 
32.50  -36.24   2.14         138.00 
32.50  -37.75   2.17         147.00 
32.50  -39.26   2.19         156.00 
32.50  -40.77   2.21         164.00 
32.50  -42.28   2.23         170.00 
32.50  -43.79   2.24         175.00 
32.50  -45.30   2.26         181.00 
32.50  -46.81   2.27         186.00 
32.50  -48.32   2.28         191.00 
32.50  -49.83   2.29         197.00 
32.50  -51.34   2.30         200.00 
32.50  -52.85   2.30         200.00 
32.50  -54.36   2.30         200.00 
32.50  -55.87   2.30         200.00 
32.50  -57.38   2.30         200.00 
32.50  -58.89   2.30         200.00 
32.50  -60.40   2.30         200.00 
35.00  0.00     1.87         74.00  
35.00  -1.51    1.86         73.00  
35.00  -3.02    1.85         71.00  
35.00  -4.53    1.85         70.00  
35.00  -6.04    1.83         68.00  
35.00  -7.55    1.82         66.00  
35.00  -9.06    1.81         64.00  
35.00  -10.57   1.81         64.00  
35.00  -12.08   1.83         67.00  
35.00  -13.59   1.85         71.00  
35.00  -15.10   1.87         74.00  
35.00  -16.61   1.89         78.00  
35.00  -18.12   1.91         81.00  
35.00  -19.63   1.92         84.00  
35.00  -21.14   1.95         90.00  
35.00  -22.65   1.99         97.00  
35.00  -24.16   2.02         105.00 
35.00  -25.67   2.05         112.00 
35.00  -27.18   2.08         119.00 
35.00  -28.69   2.09         124.00 
35.00  -30.20   2.10         125.00 
35.00  -31.71   2.10         125.00 
35.00  -33.22   2.10         126.00 
35.00  -34.73   2.11         130.00 
35.00  -36.24   2.14         137.00 
35.00  -37.75   2.16         146.00 
35.00  -39.26   2.19         154.00 
35.00  -40.77   2.21         162.00 
35.00  -42.28   2.23         170.00 
35.00  -43.79   2.25         176.00 
35.00  -45.30   2.26         182.00 
35.00  -46.81   2.27         188.00 
35.00  -48.32   2.29         193.00 
35.00  -49.83   2.30         198.00 
35.00  -51.34   2.30         200.00 
35.00  -52.85   2.30         200.00 
35.00  -54.36   2.30         200.00 
35.00  -55.87   2.30         200.00 
35.00  -57.38   2.30         200.00 
35.00  -58.89   2.30         200.00 
35.00  -60.40   2.30         200.00 
37.50  0.00     1.87         74.00  
37.50  -1.51    1.86         73.00  
37.50  -3.02    1.85         71.00  
37.50  -4.53    1.85         70.00  
37.50  -6.04    1.83         68.00  
37.50  -7.55    1.82         66.00  
37.50  -9.06    1.81         64.00  
37.50  -10.57   1.81         64.00  
37.50  -12.08   1.83         67.00  
37.50  -13.59   1.85         70.00  
37.50  -15.10   1.86         73.00  
37.50  -16.61   1.88         76.00  
37.50  -18.12   1.90         79.00  
37.50  -19.63   1.91         82.00  
37.50  -21.14   1.94         87.00  
37.50  -22.65   1.98         95.00  
37.50  -24.16   2.01         102.00 
37.50  -25.67   2.04         110.00 
37.50  -27.18   2.07         117.00 
37.50  -28.69   2.09         123.00 
37.50  -30.20   2.10         125.00 
37.50  -31.71   2.10         127.00 
37.50  -33.22   2.11         130.00 
37.50  -34.73   2.13         134.00 
37.50  -36.24   2.14         139.00 
37.50  -37.75   2.16         145.00 
37.50  -39.26   2.18         152.00 
37.50  -40.77   2.20         160.00 
37.50  -42.28   2.23         168.00 
37.50  -43.79   2.24         175.00 
37.50  -45.30   2.26         182.00 
37.50  -46.81   2.28         189.00 
37.50  -48.32   2.29         195.00 
37.50  -49.83   2.30         199.00 
37.50  -51.34   2.30         200.00 
37.50  -52.85   2.30         200.00 
37.50  -54.36   2.30         200.00 
37.50  -55.87   2.30         200.00 
37.50  -57.38   2.30         200.00 
37.50  -58.89   2.30         200.00 
37.50  -60.40   2.30         200.00 
40.00  0.00     1.87         74.00  
40.00  -1.51    1.86         73.00  
40.00  -3.02    1.85         71.00  
40.00  -4.53    1.85         70.00  
40.00  -6.04    1.83         68.00  
40.00  -7.55    1.82         66.00  
40.00  -9.06    1.81         64.00  
40.00  -10.57   1.81         64.00  
40.00  -12.08   1.82         66.00  
40.00  -13.59   1.84         69.00  
40.00  -15.10   1.86         72.00  
40.00  -16.61   1.87         74.00  
40.00  -18.12   1.89         77.00  
40.00  -19.63   1.90         80.00  
40.00  -21.14   1.93         86.00  
40.00  -22.65   1.97         94.00  
40.00  -24.16   2.00         101.00 
40.00  -25.67   2.04         109.00 
40.00  -27.18   2.06         116.00 
40.00  -28.69   2.09         123.00 
40.00  -30.20   2.10         127.00 
40.00  -31.71   2.12         131.00 
40.00  -33.22   2.13         135.00 
40.00  -34.73   2.14         139.00 
40.00  -36.24   2.16         143.00 
40.00  -37.75   2.17         147.00 
40.00  -39.26   2.18         152.00 
40.00  -40.77   2.20         159.00 
40.00  -42.28   2.22         166.00 
40.00  -43.79   2.24         174.00 
40.00  -45.30   2.26         181.00 
40.00  -46.81   2.28         189.00 
40.00  -48.32   2.29         196.00 
40.00  -49.83   2.30         200.00 
40.00  -51.34   2.30         200.00 
40.00  -52.85   2.30         200.00 
40.00  -54.36   2.30         200.00 
40.00  -55.87   2.30         200.00 
40.00  -57.38   2.30         200.00 
40.00  -58.89   2.30         200.00 
40.00  -60.40   2.30         200.00 
42.50  0.00     1.87         74.00  
42.50  -1.51    1.86         73.00  
42.50  -3.02    1.85         71.00  
42.50  -4.53    1.85         70.00  
42.50  -6.04    1.83         68.00  
42.50  -7.55    1.82         66.00  
42.50  -9.06    1.81         64.00  
42.50  -10.57   1.81         64.00  
42.50  -12.08   1.81         65.00  
42.50  -13.59   1.83         68.00  
42.50  -15.10   1.85         71.00  
42.50  -16.61   1.87         74.00  
42.50  -18.12   1.89         77.00  
42.50  -19.63   1.91         81.00  
42.50  -21.14   1.94         87.00  
42.50  -22.65   1.98         95.00  
42.50  -24.16   2.01         102.00 
42.50  -25.67   2.04         110.00 
42.50  -27.18   2.07         117.00 
42.50  -28.69   2.09         124.00 
42.50  -30.20   2.11         129.00 
42.50  -31.71   2.13         134.00 
42.50  -33.22   2.14         138.00 
42.50  -34.73   2.15         142.00 
42.50  -36.24   2.16         146.00 
42.50  -37.75   2.18         150.00 
42.50  -39.26   2.19         155.00 
42.50  -40.77   2.20         160.00 
42.50  -42.28   2.22         167.00 
42.50  -43.79   2.24         175.00 
42.50  -45.30   2.26         182.00 
42.50  -46.81   2.28         190.00 
42.50  -48.32   2.29         197.00 
42.50  -49.83   2.30         200.00 
42.50  -51.34   2.30         200.00 
42.50  -52.85   2.30         200.00 
42.50  -54.36   2.30         200.00 
42.50  -55.87   2.30         200.00 
42.50  -57.38   2.30         200.00 
42.50  -58.89   2.30         200.00 
42.50  -60.40   2.30         200.00 
45.00  0.00     1.87         74.00  
45.00  -1.51    1.86         73.00  
45.00  -3.02    1.85         71.00  
45.00  -4.53    1.85         70.00  
45.00  -6.04    1.83         68.00  
45.00  -7.55    1.82         66.00  
45.00  -9.06    1.81         64.00  
45.00  -10.57   1.81         64.00  
45.00  -12.08   1.81         65.00  
45.00  -13.59   1.84         69.00  
45.00  -15.10   1.86         72.00  
45.00  -16.61   1.88         76.00  
45.00  -18.12   1.90         79.00  
45.00  -19.63   1.92         84.00  
45.00  -21.14   1.95         90.00  
45.00  -22.65   1.99         97.00  
45.00  -24.16   2.02         104.00 
45.00  -25.67   2.05         112.00 
45.00  -27.18   2.08         119.00 
45.00  -28.69   2.10         125.00 
45.00  -30.20   2.11         130.00 
45.00  -31.71   2.13         135.00 
45.00  -33.22   2.14         139.00 
45.00  -34.73   2.16         144.00 
45.00  -36.24   2.17         148.00 
45.00  -37.75   2.18         153.00 
45.00  -39.26   2.20         157.00 
45.00  -40.77   2.21         162.00 
45.00  -42.28   2.23         170.00 
45.00  -43.79   2.25         177.00 
45.00  -45.30   2.26         184.00 
45.00  -46.81   2.28         191.00 
45.00  -48.32   2.29         197.00 
45.00  -49.83   2.30         200.00 
45.00  -51.34   2.30         200.00 
45.00  -52.85   2.30         200.00 
45.00  -54.36   2.30         200.00 
45.00  -55.87   2.30         200.00 
